Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_03_358.jpg,0,0,1,0,99.66999,85.58897,0.0002359319,56.82556,-4.337589E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_03_368.jpg,0,0,0,0,99.66999,85.58897,0.000235871,56.82556,-2.291937E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_03_429.jpg,0,0,0,0,99.66999,85.58897,0.0002359167,56.82556,-3.826192E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_03_495.jpg,0,0,0,0,99.66999,85.58897,0.000235871,56.82556,-2.291937E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_03_562.jpg,0,0,0,0,99.66999,85.58897,0.0002359167,56.82556,-3.826192E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_03_635.jpg,0,0,0,0,99.66999,85.58897,0.0002359885,56.82556,-2.498685E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_03_700.jpg,0,0,0,0,99.66999,85.58897,0.0002359428,56.82556,-9.644948E-08
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_03_767.jpg,0,0,0,0,99.66999,85.58897,0.0002360037,56.82556,-3.010146E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_03_834.jpg,0,0,0,0,99.66999,85.58897,0.000235958,56.82556,-1.475891E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_03_900.jpg,0,0,0,0,99.66999,85.58897,0.0002360037,56.82556,-3.010146E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_03_967.jpg,0,0,0,0,99.66999,85.58897,0.0002359428,56.82556,-9.644948E-08
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_04_033.jpg,0,0,0,0,99.66999,85.58897,0.0002359885,56.82556,-2.498685E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_04_100.jpg,0,0,0,0,99.66999,85.58897,0.0002359885,56.82556,-2.498685E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_04_162.jpg,0,0,0,0,99.66999,85.58897,0.0002359885,56.82556,-2.498685E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_04_229.jpg,0,0,0,0,99.66999,85.58897,0.000236019,56.82556,-3.521543E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_04_301.jpg,0,0,0,0,99.66999,85.58897,0.0002359733,56.82556,-1.987288E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_04_362.jpg,0,0,0,0,99.66999,85.58897,0.000236019,56.82556,-3.521543E-07
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_04_429.jpg,0,0,0,0,99.66999,85.58897,0.000235958,56.82556,-1.475891E-07
